County,FIPS,Cancer Incidence Rate Per 100k,Insecticide Sum,Herbicide Sum,Fungicide Sum,Adjuvant Sum
"Scotts Bluff County, Nebraska(6)",31157,445.6,4438.9,159903.5,2475.0999999999995,0.0
"Story County, Iowa(7)",19169,445.5,4116.099999999999,350821.6,5985.7,0.0
"Multnomah County, Oregon(6)",41051,445.5,732.5999999999999,10550.999999999998,465.1,0.0
"Jefferson County, Wisconsin(6)",55055,445.4,1972.5000000000002,152714.40000000002,1717.8000000000002,0.0
"Mecosta County, Michigan(6)",26107,445.4,1258.4,25881.499999999996,800.8,0.0
"Whitfield County, Georgia(7)",13313,445.4,10.5,9435.900000000003,33.5,0.0
"Washington County, Vermont(6)",50023,445.4,167.29999999999998,3392.4000000000005,65.10000000000001,0.0
"Eaton County, Michigan(6)",26045,445.4,2507.9999999999995,112707.20000000003,1623.0999999999997,0.0
"Torrance County, New Mexico(7)",35057,445.2,605.0,16252.6,176.6,0.0
"Gwinnett County, Georgia(7)",13135,445.2,74.6,1706.4,29.2,0.0
"Okeechobee County, Florida(6)",12093,445.2,2196.6000000000004,49843.299999999996,417.1,0.0
"Oakland County, Michigan(6)",26125,445.2,811.6999999999999,10437.1,239.0,0.0
"Cumberland County, Maine(6)",23005,445.0,161.9,1276.6999999999998,27.6,0.0
"Audubon County, Iowa(7)",19009,444.9,4904.799999999999,272365.30000000005,5075.000000000001,0.0
"Huron County, Michigan(6)",26063,444.9,3188.5000000000005,287669.4,7987.1,0.0
"Peach County, Georgia(7)",13225,444.9,19745.899999999994,13992.4,4223.1,0.0
"Lauderdale County, Tennessee(6)",47097,444.9,14503.0,160925.50000000003,3744.6000000000004,0.0
"Sumter County, Florida(6)",12119,444.8,2386.2,19866.2,740.4,0.0
"Garden County, Nebraska(6)",31069,444.8,1017.0,93946.59999999999,989.9000000000001,0.0
"Jackson County, Missouri(6)",29095,444.7,922.6000000000001,60402.99999999999,723.8000000000001,0.0
"Hamilton County, Iowa(7)",19079,444.6,4543.4,395617.50000000006,6762.0,0.0
"Tioga County, Pennsylvania(6)",42117,444.6,1097.1999999999996,30649.7,513.9000000000001,0.0
"Unicoi County, Tennessee(6)",47171,444.5,30.6,339.59999999999997,11.999999999999998,0.0
"Harris County, Georgia(7)",13145,444.4,51.6,1270.9,33.7,0.0
"Klamath County, Oregon(6)",41035,444.3,13141.2,32672.399999999998,3236.4,0.0
"Johnson County, Nebraska(6)",31097,444.3,29717.600000000002,216629.00000000006,3087.3999999999996,0.0
"Paulding County, Ohio(6)",39125,444.2,2260.7999999999997,204704.19999999998,2439.8,0.0
"Frederick County, Maryland(6)",24021,444.1,2391.7,168334.3,2000.8000000000002,0.0
"Trigg County, Kentucky(7)",21221,444.1,1498.5,149235.09999999998,4364.700000000001,0.0
"McCormick County, South Carolina(6)",45065,444.0,81.8,2400.9000000000005,40.8,0.0
"Linn County, Missouri(6)",29115,443.9,2355.5,156065.1,794.9999999999999,0.0
"Sauk County, Wisconsin(6)",55111,443.8,2199.9999999999995,165033.29999999996,1864.1000000000001,0.0
"Clackamas County, Oregon(6)",41005,443.8,1868.9000000000003,21601.400000000005,1437.7,0.0
"Ballard County, Kentucky(7)",21007,443.6,1131.3000000000002,164084.4,4247.099999999999,0.0
"Dane County, Wisconsin(6)",55025,443.5,3978.8000000000006,300426.60000000003,3293.1,0.0
"Wilbarger County, Texas(7)",48487,443.4,3191.8999999999996,79554.69999999998,2774.2,0.0
"Putnam County, Missouri(6)",29171,443.4,1279.7999999999997,72393.59999999998,315.2,0.0
"Amite County, Mississippi(6)",28005,443.3,172.8,6020.7,22.7,0.0
"Poweshiek County, Iowa(7)",19157,443.3,4123.400000000001,331048.80000000005,5604.3,0.0
"Chase County, Nebraska(6)",31029,443.1,14138.8,472783.5999999998,2522.7999999999997,0.0
"Rabun County, Georgia(7)",13241,443.0,77.29999999999998,1130.8,38.2,0.0
"Wasco County, Oregon(6)",41065,443.0,3926.3999999999996,78774.1,4827.800000000001,0.0
"Champaign County, Illinois(7)",17019,442.9,3771.3,656898.3,9796.1,0.0
"Monroe County, West Virginia(6)",54063,442.8,174.99999999999997,11572.7,50.4,0.0
"Burleson County, Texas(7)",48051,442.7,4937.9000000000015,62391.400000000016,149.7,0.0
"Hood River County, Oregon(6)",41027,442.7,9026.599999999999,37506.299999999996,1850.9,0.0
"Blaine County, Idaho(7)",16013,442.7,1325.4,11160.199999999999,774.4,0.0
"Berrien County, Michigan(6)",26021,442.6,4708.299999999999,109081.7,5484.499999999999,0.0
"Cuming County, Nebraska(6)",31039,442.6,3074.4,363347.6,7090.599999999999,0.0
