County,FIPS,Cancer Incidence Rate Per 100k,Breast Cancer Incidence Rate Per 100k,Leukemia Incidence Rate Per 100k,Lung Cancer Incidence Rate Per 100k,Non-Hodgkin Lymphoma Incidence Rate Per 100k,Prostate Cancer Incidence Rate Per 100k,Insecticide Sum,Herbicide Sum,Fungicide Sum
"Henderson County, North Carolina(6)",37089,464.6,123.9,13.3,64.4,17.8,110.4,8131.000000000001,6533.499999999998,731.4
"Gem County, Idaho(7)",16045,464.5,123.9,13.3,64.4,17.8,110.4,865.9,11150.699999999999,950.2
"Liberty County, Texas(7)",48291,464.4,123.9,13.3,64.3,17.8,110.4,602.1,13029.700000000003,108.9
"Rogers County, Oklahoma(6)",40131,464.4,123.9,13.3,64.3,17.8,110.4,311.30000000000007,14141.9,152.8
"Chatham County, North Carolina(6)",37037,464.3,123.9,13.3,64.3,17.8,110.4,494.2000000000001,19082.500000000004,256.4
"Buchanan County, Missouri(6)",29021,464.3,123.9,13.3,64.3,17.8,110.3,2896.9,189466.40000000002,1016.0000000000001
"Kaufman County, Texas(7)",48257,464.3,123.9,13.3,64.3,17.8,110.3,10605.1,40808.70000000001,911.5999999999999
"Tucker County, West Virginia(6)",54093,464.2,123.9,13.3,64.2,17.8,110.3,149.70000000000002,1679.9,11.7
"Buffalo County, Nebraska(6)",31019,464.2,123.8,13.3,64.2,17.8,110.2,60377.8,440931.7,12855.3
"Screven County, Georgia(7)",13251,464.2,123.8,13.3,64.2,17.8,110.2,12503.2,80354.50000000001,2652.8
"Smith County, Texas(7)",48423,464.1,123.7,13.2,64.2,17.8,110.2,40.699999999999996,8922.300000000001,108.0
"Cumberland County, North Carolina(6)",37051,464.1,123.7,13.2,64.2,17.8,110.2,2962.7999999999997,54433.100000000006,1281.8999999999999
"Fentress County, Tennessee(6)",47049,464.1,123.7,13.2,64.2,17.7,110.1,62.60000000000001,13708.4,87.19999999999999
"New Hanover County, North Carolina(6)",37129,464.0,123.7,13.2,64.2,17.7,110.0,34.4,327.40000000000003,40.5
"Kennebec County, Maine(6)",23011,464.0,123.7,13.2,64.2,17.7,110.0,405.20000000000005,7409.6,24.4
"Scott County, Mississippi(6)",28123,464.0,123.6,13.2,64.2,17.7,110.0,1103.7,17218.899999999998,193.1
"Tallahatchie County, Mississippi(6)",28135,464.0,123.6,13.2,64.2,17.7,110.0,28201.600000000002,580804.2999999999,3576.8
"Jefferson County, Oklahoma(6)",40067,463.9,123.6,13.2,64.2,17.7,109.9,1112.6999999999998,22258.8,265.7
"Jackson County, Illinois(7)",17077,463.9,123.6,13.2,64.1,17.7,109.9,2451.7000000000003,208729.60000000003,3958.6
"Warren County, Kentucky(7)",21227,463.9,123.5,13.2,64.1,17.7,109.9,847.2,113156.19999999997,1945.9
"Fayette County, Georgia(7)",13113,463.8,123.5,13.2,64.1,17.7,109.9,569.1999999999998,3439.600000000001,48.50000000000001
"Erie County, Ohio(6)",39043,463.8,123.5,13.2,64.1,17.7,109.9,1173.6000000000001,64239.50000000002,1083.5
"Macon County, Missouri(6)",29121,463.7,123.5,13.2,64.1,17.7,109.9,3378.8999999999996,214964.6,1071.9
"Clinton County, Pennsylvania(6)",42035,463.7,123.4,13.2,64.1,17.7,109.8,952.8000000000001,26394.899999999998,470.5
"Dixon County, Nebraska(6)",31051,463.7,123.4,13.2,64.1,17.7,109.8,2161.4,258606.89999999997,5136.599999999999
"Carroll County, Iowa(7)",19027,463.7,123.4,13.2,64.0,17.7,109.8,7015.3,411760.80000000005,7550.2
"Berkeley County, West Virginia(6)",54003,463.6,123.4,13.2,64.0,17.7,109.8,5884.599999999999,18483.1,573.0999999999999
"Carteret County, North Carolina(6)",37031,463.6,123.4,13.2,64.0,17.7,109.7,816.0,13529.800000000003,309.5
"Burleigh County, North Dakota(6)",38015,463.5,123.4,13.2,64.0,17.7,109.7,4158.599999999999,283502.5,6326.8
